"","Date","TMAX","TMIN","RAIN"
"1",1986-01-01,32,17,0
"2",1986-01-02,32,16,0
"3",1986-01-03,33,16,0
"4",1986-01-04,32,14,NA
"5",1986-01-05,33,17,0
"6",1986-01-06,33,16,0
"7",1986-01-07,32,18,0
"8",1986-01-08,31,16,0
"9",1986-01-09,31,15,0
"10",1986-01-10,31,17,0
"11",1986-01-11,30,17,0
"12",1986-01-12,28,17,0
"13",1986-01-13,27,16,0
"14",1986-01-14,27,15,0
"15",1986-01-15,27,16,0
"16",1986-01-16,29,15,0
"17",1986-01-17,31,16,0
"18",1986-01-18,33,16,0
"19",1986-01-19,31,16,0
"20",1986-01-20,30,16,0
"21",1986-01-21,32,15,0
"22",1986-01-22,31,15,0
"23",1986-01-23,31,17,0
"24",1986-01-24,31,18,0
"25",1986-01-25,32,19,0
"26",1986-01-26,33,19,0
"27",1986-01-27,34,18,0
"28",1986-01-28,35,16,0
"29",1986-01-29,35,17,0
"30",1986-01-30,37,17,0
"31",1986-01-31,38,17,0
"32",1986-02-01,39,18,0
"33",1986-02-02,39,18,0
"34",1986-02-03,38,17,0
"35",1986-02-04,36,18,0
"36",1986-02-05,37,19,0
"37",1986-02-06,34,19,0
"38",1986-02-07,31,22,0
"39",1986-02-08,34,21,0
"40",1986-02-09,34,22,0
"41",1986-02-10,36,20,0
"42",1986-02-11,37,22,0
"43",1986-02-12,37,20,0
"44",1986-02-13,36,20,0
"45",1986-02-14,35,20,0
"46",1986-02-15,35,21,0
"47",1986-02-16,36,22,0
"48",1986-02-17,37,22,0
"49",1986-02-18,38,22,0
"50",1986-02-19,38,21,0
"51",1986-02-20,38,21,0
"52",1986-02-21,38,20,0
"53",1986-02-22,38,19,0
"54",1986-02-23,37,21,0
"55",1986-02-24,37,22,0
"56",1986-02-25,38,21,0
"57",1986-02-26,38,22,0
"58",1986-02-27,38,22,0
"59",1986-02-28,38,22,0
"60",1986-03-01,37,21,0
"61",1986-03-02,38,22,0
"62",1986-03-03,36,21,0
"63",1986-03-04,38,22,0
"64",1986-03-05,39,NA,0
"65",1986-03-06,38,21,0
"66",1986-03-07,38,22,0
"67",1986-03-08,39,23,0
"68",1986-03-09,40,21,0
"69",1986-03-10,40,20,0
"70",1986-03-11,41,22,0
"71",1986-03-12,40,24,0
"72",1986-03-13,39,23,0
"73",1986-03-14,39,24,0
"74",1986-03-15,38,28,0
"75",1986-03-16,38,25,0
"76",1986-03-17,39,24,0
"77",1986-03-18,39,24,0
"78",1986-03-19,39,26,0
"79",1986-03-20,38,25,0
"80",1986-03-21,38,26,0
"81",1986-03-22,39,28,0
"82",1986-03-23,39,25,0
"83",1986-03-24,38,25,0
"84",1986-03-25,39,28,0
"85",1986-03-26,40,27,0
"86",1986-03-27,41,25,0
"87",1986-03-28,40,26,0
"88",1986-03-29,41,28,0
"89",1986-03-30,40,29,0
"90",1986-03-31,40,28,0
"91",1986-04-01,42,28,0
"92",1986-04-02,42,27,0
"93",1986-04-03,42,26,0
"94",1986-04-04,41,28,0
"95",1986-04-05,42,30,0
"96",1986-04-06,41,29,0
"97",1986-04-07,40,30,0
"98",1986-04-08,41,28,0
"99",1986-04-09,42,29,0
"100",1986-04-10,38,27,0
"101",1986-04-11,42,28,0
"102",1986-04-12,43,27,0
"103",1986-04-13,43,30,0
"104",1986-04-14,42,28,0
"105",1986-04-15,42,29,0
"106",1986-04-16,44,28,0
"107",1986-04-17,42,28,0
"108",1986-04-18,41,29,0
"109",1986-04-19,42,27,0
"110",1986-04-20,42,30,0
"111",1986-04-21,40,29,0
"112",1986-04-22,40,30,0
"113",1986-04-23,40,31,0
"114",1986-04-24,39,31,0
"115",1986-04-25,42,30,0
"116",1986-04-26,41,30,0
"117",1986-04-27,40,28,0
"118",1986-04-28,40,28,0
"119",1986-04-29,41,29,0
